,dg_id,player_name,12_mo_long_game,12_mo_short_game,#_of_rounds,tour
3,1435,"Poulter, Ian",-0.29100927306608554,0.8067095169741915,71.0,pga
5,1804,"Choi, K.J.",-0.8664416390850826,-0.48802787895656974,52.0,pga
7,4052,"Westwood, Lee",0.23749567720907483,-0.45155747136558394,59.0,pga
14,5321,"Woods, Tiger",0.4724764588873166,-0.5971319551143911,30.0,pga
16,5665,"Cink, Stewart",-0.7975136861196038,0.27979071842371783,57.0,pga
18,5716,"Harrington, Padraig",-0.5801747752467352,-0.496131449962553,44.0,pga
19,5768,"Hoffman, Charley",0.2908876219980211,-0.19414262834463641,83.0,pga
20,5874,"Percy, Cameron",-0.21547469408565595,-0.3660010875664727,62.0,pga
21,5951,"Gay, Brian",-1.7839413814490832,0.9858475251990204,56.0,pga
23,6093,"Rose, Justin",0.09559467805479822,0.09515014465102012,78.0,pga
25,6169,"Kuchar, Matt",-0.31510674891114454,0.582477419304472,78.0,pga
27,6252,"Baddeley, Aaron",-1.575099713014627,0.7626710413603837,79.0,pga
28,6283,"Sabbatini, Rory",-1.397688356513515,0.278355492937692,60.0,pga
31,6430,"Scott, Adam",0.6602426901191512,0.6636011023414402,97.0,pga
32,6457,"Van Pelt, Bo",-0.7744843062818659,-0.8029314776635087,51.0,pga
36,6762,"Perez, Pat",0.02212314397899092,0.6906215990143527,86.0,pga
38,6892,"Howell III, Charles",0.46641025721757745,0.2154109218887519,62.0,pga
39,6930,"Taylor, Vaughn",-0.08189429354470865,-0.42040094651303916,54.0,pga
40,6931,"Byrd, Jonathan",-1.0935766340555577,-0.1373216184568392,56.0,pga
42,6986,"Johnson, Zach",-0.34277333202427157,0.39408968823396984,52.0,pga
45,7097,"Wilkinson, Tim",-0.6040329578853801,0.31198802876689613,62.0,pga
46,7108,"Casey, Paul",1.1800879397096609,-0.030014109246720332,51.0,pga
47,7236,"Trahan, D.J.",-0.19884846243629417,-0.6909117309267353,69.0,pga
48,7293,"Walker, Jimmy",-0.6328163196149322,-0.3965272086661668,53.0,pga
49,7301,"Dufner, Jason",-0.18325108594171277,-0.7107930014963273,83.0,pga
52,7340,"Hearn, David",-0.7582135258657513,-0.16858817632623552,42.0,pga
54,7399,"Glover, Lucas",0.694779067739377,-0.019390979112924832,93.0,pga
55,7452,"Na, Kevin",0.3734728764482146,0.6278271855521876,68.0,pga
57,7489,"Moore, Ryan",0.167713587318179,-0.2560203438527042,81.0,pga
59,7548,"McDowell, Graeme",-0.08901992816888056,-0.3518952304618607,58.0,pga
60,7626,"O'Hair, Sean",-0.7016017900743774,-0.41293410005365894,37.0,pga
62,7649,"Leishman, Marc",0.28087712983146196,0.4524132519848464,77.0,pga
63,7655,"Molinari, Francesco",0.002077147808600483,-0.6092650567021586,56.0,pga
67,7820,"Palmer, Ryan",-0.6957965679779239,-0.5386052882094974,55.0,pga
68,7881,"Kang, Sung",-1.5311041855315972,-0.9896199295180413,56.0,pga
70,7899,"Piercy, Scott",0.36841543795029263,-0.7304340043408977,52.0,pga
