,calendar_year,date,event_id,event_name,sg_categories,tour,traditional_stats,distinct_event_id
67,2024,2024-12-22,2025104,AfrAsia Bank Mauritius Open,no,euro,no,68
69,2024,2024-12-15,88,PGA TOUR Q-School presented by Korn Ferry,no,pga,basic,70
70,2024,2024-12-15,2025103,Alfred Dunhill Championship,no,euro,no,71
72,2024,2024-12-14,38,Promotions Event,no,liv,no,73
75,2024,2024-12-08,2025102,Nedbank Golf Challenge,no,euro,no,76
76,2024,2024-12-08,478,Hero World Challenge,yes,pga,yes,77
81,2024,2024-12-01,2025101,ISPS Handa Australian Open,no,euro,no,82
86,2024,2024-11-24,493,The RSM Classic,yes,pga,yes,87
87,2024,2024-11-24,2025100,BMW Australian PGA Championship,no,euro,no,88
94,2024,2024-11-17,2024142,DP World Tour Championship,no,euro,no,95
97,2024,2024-11-17,528,Butterfield Bermuda Championship,no,pga,basic,98
102,2024,2024-11-13,2024714,DP World Tour Qualifying (Final Stage),no,euro,no,103
103,2024,2024-11-10,2024141,Abu Dhabi HSBC Championship,no,euro,no,104
109,2024,2024-11-10,457,World Wide Technology Championship,no,pga,basic,110
120,2024,2024-10-27,2024118,Genesis Championship,no,euro,no,121
122,2024,2024-10-27,527,ZOZO CHAMPIONSHIP,yes,pga,yes,123
127,2024,2024-10-20,2024139,Estrella Damm N.A. Andalucía  Masters,no,euro,no,128
134,2024,2024-10-20,47,Shriners Children's Open,yes,pga,yes,135
140,2024,2024-10-13,2024138,FedEx Open de France,no,euro,no,141
144,2024,2024-10-13,554,Black Desert Championship,yes,pga,yes,145
152,2024,2024-10-06,2024137,Alfred Dunhill Links Championship,no,euro,no,153
156,2024,2024-10-06,54,Sanderson Farms Championship,yes,pga,yes,157
167,2024,2024-09-29,2024136,acciona Open de España presented by Madrid,no,euro,no,168
175,2024,2024-09-22,2024135,BMW PGA Championship,no,euro,no,176
179,2024,2024-09-22,37,Dallas (Team Final—Stroke Play),no,liv,no,180
185,2024,2024-09-15,464,Procore Championship,yes,pga,yes,186
188,2024,2024-09-15,36,Chicago,yes,liv,basic,189
191,2024,2024-09-15,2024134,Amgen Irish Open,no,euro,no,192
202,2024,2024-09-08,2024133,Omega European Masters,no,euro,no,203
210,2024,2024-09-01,60,TOUR Championship,yes,pga,yes,211
212,2024,2024-09-01,2024132,Betfred British Masters hosted by Sir Nick Faldo,no,euro,no,213
220,2024,2024-08-25,28,BMW Championship,yes,pga,yes,221
223,2024,2024-08-25,2024145,Danish Golf Championship,no,euro,no,224
238,2024,2024-08-18,2024144,D+D REAL Czech Masters,no,euro,no,239
242,2024,2024-08-18,27,FedEx St. Jude Championship,yes,pga,yes,243
243,2024,2024-08-18,35,Greenbrier,yes,liv,basic,244
250,2024,2024-08-11,13,Wyndham Championship,yes,pga,yes,251
261,2024,2024-08-04,519,Olympic Men's Golf Competition,yes,pga,yes,262
272,2024,2024-07-28,34,United Kingdom,yes,liv,basic,273
273,2024,2024-07-28,525,3M Open,yes,pga,yes,274
282,2024,2024-07-21,472,Barracuda Championship,yes,pga,basic,283
284,2024,2024-07-21,100,The Open Championship,yes,pga,yes,285
288,2024,2024-07-14,33,Andalucia,yes,liv,basic,289
292,2024,2024-07-14,518,ISCO Championship,yes,pga,yes,293
294,2024,2024-07-14,541,Genesis Scottish Open,yes,pga,yes,295
300,2024,2024-07-07,2024126,BMW International Open,no,euro,no,301
